"genes" "log2FoldChange" "padj" "lfcSE" "stat" "baseMean"
"1" "MSTRG.16070.1.p1" 5.84853529444098 6.99806339040246e-136 0.232078160785714 25.200713736443 627.529960674189
"2" "MSTRG.16079.1.p1" 6.15474431866721 8.82712515765817e-83 0.311802403095118 19.7392459377218 300.48233470192
"3" "MSTRG.3735.1.p1" -10.7948543551636 1.46758619081252e-60 0.637421106305484 -16.9352006834712 7821.9882049102
"4" "SMEST074423001.1.p1" -11.6602463155266 9.30653449404749e-53 0.736825498140467 -15.8249766667327 14630.0027227093
"5" "SMEST014171001.1.p1" -12.1281408722523 7.84931565672039e-49 0.796286797847857 -15.2308702153939 4810.53238644071
"6" "SMEST077439001.1.p1" -6.98712653030595 2.23017613824349e-47 0.46585852794728 -14.9983870877999 1153.90036460982
"7" "SMEST054032001.1.p1" -7.69805210008481 2.46379309688274e-43 0.536205469944587 -14.3565340742987 2739.4835914044
"8" "SMEST034925001.1.p1" -7.61448441965789 2.62196703546491e-43 0.530886624627826 -14.342957736025 656.472703943967
"9" "SMEST068215002.1.p1" -8.16867757935432 2.31023913212946e-42 0.575951956848291 -14.1829148807042 1171.38345033244
"10" "MSTRG.401.1.p1" -10.3857264074051 3.0085086503406e-41 0.742145268837699 -13.9941960738638 4523.90946966861
"11" "SMEST076962001.1.p1" -13.5490712752182 4.53082811431509e-40 0.982303133336177 -13.7931671145156 21688.4949629489
"12" "SMEST005262001.1.p1" -9.4705790806599 1.79144710226718e-39 0.691922547422008 -13.6873398849998 4360.64921798564
"13" "SMEST053385001.1.p1" -8.82378186048531 9.39710381692751e-39 0.650697916606057 -13.560488877095 1468.02815376497
"14" "SMEST053358001.1.p1" -9.91469576782348 1.1286559262922e-37 0.741484220775149 -13.3714184200152 1982.81582710176
"15" "SMEST068132001.1.p1" -7.81817837784167 1.85226890721615e-37 0.586537393521538 -13.3293775711413 1305.09555519269
"16" "SMEST011334001.1.p1" -7.44775105666832 5.26102193317666e-37 0.562246161058888 -13.2464240265186 495.267434757497
"17" "MSTRG.5449.5.p1" -5.04449031801927 7.16982689409499e-37 0.381620444959581 -13.2186060381371 622.495738223467
"18" "SMEST037374003.1.p1" -1.47741421897481 1.17358745596163e-36 0.112119205732666 -13.1771734317982 1333.48860052571
"19" "SMEST041912001.1.p1" -4.40907459583775 9.82144058349688e-36 0.338853211492809 -13.0117538990222 200.088100142823
"20" "SMEST027870001.1.p1" -8.40573509685777 1.11538630765919e-34 0.655632932708547 -12.8207944987328 1869.08354804428
"21" "SMEST018862001.1.p1" -2.37962293648047 1.41376811049057e-34 0.185980695728544 -12.794999648532 329.564636541262
"22" "SMEST020111001.1.p1" -3.2728523673844 1.41376811049057e-34 0.255759585611152 -12.7965970837954 364.449487455206
"23" "SMEST010389001.1.p1" -10.8885635057695 2.00322775947695e-34 0.85303911386735 -12.7644363883913 1859.06580601314
"24" "SMEST069734001.1.p1" -12.510935599275 4.59691866604186e-34 0.985403141566449 -12.6962611255602 11993.8550472338
"25" "SMEST048714001.1.p1" -2.52825294254609 9.73519941866242e-34 0.200112239151031 -12.6341744676493 399.48691209021
"26" "SMEST043642001.1.p1" -5.68396165505042 6.17074940779414e-33 0.455264922343006 -12.4849540917805 284.238824959826
"27" "SMEST069023002.1.p1" -11.5139359491261 3.7115783253205e-32 0.933187059307357 -12.3382936296525 4659.70044713937
"28" "SMEST050200001.1.p1" -9.0314994005995 6.64697819631035e-32 0.734964835588319 -12.2883421944535 682.025442527322
"29" "MSTRG.9437.3.p1" -8.70597167944211 1.30420605714457e-31 0.711802642163788 -12.2308785662513 1290.49377636622
"30" "SMEST044805001.1.p1" -10.0556321869392 2.58652980234411e-31 0.826103021754616 -12.1723706633845 2561.53738139116
"31" "SMEST001671001.1.p1" -5.23500543821925 1.26362497899341e-30 0.434818243304789 -12.0395257531771 491.346891128858
"32" "SMEST053313001.1.p1" -10.6956577164743 2.39749868796234e-30 0.892498921295727 -11.983944698719 6259.20021873659
"33" "SMEST053360001.1.p1" -10.7167562076964 5.14881254665087e-30 0.899217443686007 -11.9178695686407 2609.74548408885
"34" "SMEST023127001.1.p1" -13.4838181665956 5.79838477774216e-30 1.13257288358148 -11.9054750136312 10861.1210739688
"35" "SMEST000199001.1.p1" -13.5233002382116 5.2296735541644e-29 1.15404782751893 -11.7181453972191 9640.95755403233
"36" "MSTRG.23625.1.p1" -9.20466694544808 1.96313523658282e-28 0.793292148681539 -11.6031237177203 1070.19050646569
"37" "SMEST021744001.1.p1" -12.7905247302316 2.07839709207095e-28 1.10302169173513 -11.5958959158013 5782.2594982353
"38" "SMEST026376001.1.p1" -5.20804625315308 4.12231648525273e-28 0.451506224223689 -11.5348271490779 91.7218178780868
"39" "SMEST050423001.1.p1" -10.359134598562 5.26106802650023e-28 0.899888330006662 -11.5115778848752 1808.78649898417
"40" "SMEST013992001.1.p1" -13.4421176860321 8.66438190815223e-28 1.17231630763345 -11.4662890881112 4176.64574748102
"41" "SMEST062548001.1.p1" -14.1203494006824 1.2395770274402e-27 1.23504087189168 -11.4331029215695 11413.2787931723
"42" "SMEST042101001.1.p1" -9.1582631669895 1.89678425605466e-27 0.803778284870279 -11.3940166577995 2857.10660115475
"43" "SMEST048308001.1.p1" -10.3015044632861 1.93393200093286e-27 0.90441210834098 -11.3902770299955 5822.60448851299
"44" "SMEST053120001.1.p1" -7.20149307079858 2.28895988864474e-27 0.633177539925492 -11.3735763142293 506.983886125318
"45" "SMEST008613001.1.p1" -10.2114777304116 5.72071238149341e-27 0.904359318635221 -11.2913943827348 1458.36678951671
"46" "MSTRG.2400.1.p1" -6.46197742792889 6.04697449621795e-27 0.572637512668678 -11.2845862958121 4171.91536365728
"47" "SMEST016878001.1.p1" -13.2602969390618 7.25636648843826e-27 1.17695133834816 -11.2666484220771 5994.3936381266
"48" "SMEST070597003.1.p1" -2.42425362287236 1.02752145127249e-26 0.215793992741853 -11.2341107927523 281.076374259029
"49" "SMEST078002003.1.p1" -8.27301629009319 1.18414027569639e-26 0.737361907273369 -11.2197500419913 1886.80151427098
"50" "SMEST024917001.1.p1" -8.79620210712163 1.22785189930053e-26 0.784341781210942 -11.2147565230316 2100.98397645739
"51" "SMEST039213001.1.p1" -5.88555839741898 1.25962408794321e-26 0.524992692170186 -11.2107434735702 499.850068353883
"52" "SMEST013980002.1.p1" -6.20418943755188 1.48532681405994e-26 0.55422134227524 -11.1944253393092 461.145053241805
"53" "SMEST036938001.1.p2" -12.6839027096152 3.13424122025529e-26 1.13998818724285 -11.1263457389784 7552.46548469064
"54" "SMEST025491002.1.p1" -10.221234011082 4.63742948561391e-26 0.921688311489608 -11.0896860507677 770.054743945266
