"genes" "log2FoldChange" "padj" "lfcSE" "stat" "baseMean"
"1" "SMEST005262001.1.p1" 7.14716515554248 0 0.135796941831993 52.6312673843931 9595.05541237584
"2" "MSTRG.3735.1.p1" 6.18865423640168 0 0.142677496936378 43.3751248044483 6184.20364955579
"3" "MSTRG.5297.1.p2" 6.60973595803876 0 0.161572568070146 40.9087757716964 5260.49881180948
"4" "SMEST017076001.1.p1" 11.1236120446996 0 0.261201192694336 42.5863753911596 20847.0855378496
"5" "SMEST018900001.1.p1" 4.79107544150052 0 0.118706405005153 40.3607155089277 7517.29066572246
"6" "SMEST021744001.1.p1" 8.67507335909764 0 0.230368012400289 37.6574562965964 6193.11527977966
"7" "SMEST030745001.1.p1" 5.76361542636538 0 0.153511780178518 37.5451018785848 3844.20343168166
"8" "SMEST039778001.1.p1" 4.61346798601886 0 0.120879534420216 38.1658318601806 4672.85187068222
"9" "SMEST059382002.1.p1" 5.92246175742346 0 0.156695593940283 37.7959686580626 3198.10695730792
"10" "MSTRG.19700.1.p1" 15.1350973521056 0 0.374427792377699 40.4219389164313 158233.496141599
"11" "SMEST074423001.1.p1" 7.29736957119719 0 0.130690708810017 55.8369423323374 11845.0647779478
"12" "SMEST076962001.1.p1" 10.4685975911533 0 0.231375546661734 45.2450474658766 19498.399501946
"13" "SMEST048308001.1.p1" 8.31278677855434 6.11400967634018e-278 0.232029519480922 35.8264189709613 4732.35586492405
"14" "SMEST066662001.1.p1" 8.58402462091883 1.07884749038785e-276 0.240151550359956 35.744198228379 5181.85870631586
"15" "SMEST069734001.1.p1" 10.5491400683908 4.25719069646407e-265 0.301508610041397 34.9878567877131 10708.9745811313
"16" "SMEST016878001.1.p1" 8.62665435938003 7.50388121523204e-264 0.247153966295203 34.9039689254926 4895.43620041064
"17" "MSTRG.2400.1.p1" 4.5467202264714 1.84796605504839e-262 0.130613870903182 34.810393375767 4288.6015057716
"18" "SMEST009544001.1.p1" 8.2604692946921 6.49545469511539e-262 0.237556496416477 34.7726516399286 3971.06490845782
"19" "SMEST072127001.1.p1" 8.50498014299963 1.39378029251241e-260 0.24522127861982 34.6828798498574 4604.96302822937
