"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0006281","DNA repair",41,5,1.13,0.0049
"2","GO:0007156","homophilic cell adhesion via plasma memb...",101,8,2.77,0.0061
"3","GO:0098609","cell-cell adhesion",101,8,2.77,0.0061
"4","GO:0098742","cell-cell adhesion via plasma-membrane a...",101,8,2.77,0.0061
"5","GO:0006470","protein dephosphorylation",83,7,2.28,0.0073
"6","GO:0006974","cellular response to DNA damage stimulus",47,5,1.29,0.0088
"7","GO:0090304","nucleic acid metabolic process",715,30,19.64,0.0091
"8","GO:0033554","cellular response to stress",50,5,1.37,0.0114
"9","GO:0016311","dephosphorylation",113,8,3.1,0.0118
"10","GO:0016070","RNA metabolic process",522,23,14.34,0.0134
"11","GO:0007155","cell adhesion",118,8,3.24,0.0151
"12","GO:0006950","response to stress",54,5,1.48,0.0155
"13","GO:0006725","cellular aromatic compound metabolic pro...",848,33,23.29,0.0182
"14","GO:0046483","heterocycle metabolic process",852,33,23.4,0.0195
"15","GO:1901360","organic cyclic compound metabolic proces...",860,33,23.62,0.0222
"16","GO:0006351","DNA-templated transcription",314,15,8.62,0.0237
"17","GO:0097659","nucleic acid-templated transcription",314,15,8.62,0.0237
"18","GO:0032774","RNA biosynthetic process",316,15,8.68,0.025
"19","GO:0007010","cytoskeleton organization",41,4,1.13,0.025
"20","GO:0043412","macromolecule modification",938,35,25.76,0.0271
"21","GO:0044237","cellular metabolic process",1875,62,51.5,0.0304
"22","GO:0043170","macromolecule metabolic process",1989,65,54.63,0.0325
"23","GO:0006355","regulation of DNA-templated transcriptio...",243,12,6.67,0.0333
"24","GO:1903506","regulation of nucleic acid-templated tra...",243,12,6.67,0.0333
"25","GO:2001141","regulation of RNA biosynthetic process",243,12,6.67,0.0333
"26","GO:0009987","cellular process",3462,103,95.09,0.0355
"27","GO:0019438","aromatic compound biosynthetic process",390,17,10.71,0.0361
"28","GO:0006139","nucleobase-containing compound metabolic...",827,31,22.72,0.0362
"29","GO:0051252","regulation of RNA metabolic process",246,12,6.76,0.0362
"30","GO:0009889","regulation of biosynthetic process",249,12,6.84,0.0392
"31","GO:0010556","regulation of macromolecule biosynthetic...",249,12,6.84,0.0392
"32","GO:0019219","regulation of nucleobase-containing comp...",249,12,6.84,0.0392
"33","GO:0031326","regulation of cellular biosynthetic proc...",249,12,6.84,0.0392
"34","GO:0018130","heterocycle biosynthetic process",397,17,10.9,0.0418
"35","GO:0010468","regulation of gene expression",252,12,6.92,0.0423
"36","GO:1901362","organic cyclic compound biosynthetic pro...",400,17,10.99,0.0444
"37","GO:0036211","protein modification process",907,33,24.91,0.0446
