"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0007186","G protein-coupled receptor signaling pat...",557,40,18.52,2.2e-06
"2","GO:0006814","sodium ion transport",131,13,4.36,0.00039
"3","GO:0006811","ion transport",757,41,25.17,0.00103
"4","GO:0007009","plasma membrane organization",29,5,0.96,0.00241
"5","GO:0007155","cell adhesion",181,14,6.02,0.00274
"6","GO:0051260","protein homooligomerization",97,9,3.22,0.00479
"7","GO:0051259","protein complex oligomerization",98,9,3.26,0.00512
"8","GO:0006810","transport",1568,69,52.13,0.00565
"9","GO:0030001","metal ion transport",261,17,8.68,0.00603
"10","GO:0051234","establishment of localization",1574,69,52.33,0.0062
"11","GO:0051179","localization",1588,69,52.8,0.00768
"12","GO:0007156","homophilic cell adhesion via plasma memb...",163,12,5.42,0.00795
"13","GO:0098609","cell-cell adhesion",163,12,5.42,0.00795
"14","GO:0098742","cell-cell adhesion via plasma-membrane a...",163,12,5.42,0.00795
"15","GO:0010256","endomembrane system organization",38,5,1.26,0.00798
"16","GO:0017121","plasma membrane phospholipid scrambling",14,3,0.47,0.01007
"17","GO:0034204","lipid translocation",14,3,0.47,0.01007
"18","GO:0045332","phospholipid translocation",14,3,0.47,0.01007
"19","GO:0097035","regulation of membrane lipid distributio...",14,3,0.47,0.01007
"20","GO:0061024","membrane organization",46,5,1.53,0.0176
"21","GO:0015748","organophosphate ester transport",20,3,0.66,0.02724
"22","GO:0015914","phospholipid transport",20,3,0.66,0.02724
"23","GO:0006812","cation transport",332,18,11.04,0.02754
"24","GO:0007165","signal transduction",1078,46,35.84,0.04092
