"V1","V5","V6","V12","V13","V14"
"m.43042.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.36468.p1","PF02928","C5HC2 zinc finger","IPR004198","Zinc finger, C5HC2-type","-"
"m.14504.p1","SSF55021","ACT-like","-","-",""
"m.3036.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.13285.p2","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.7300.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2004.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.24829.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.42320.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.10615.p1","PF00447","HSF-type DNA-binding","IPR000232","Heat shock factor (HSF)-type, DNA-binding","GO:0003700|GO:0006355|GO:0043565"
"m.43485.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.4331.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.18551.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.43161.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40155.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.1882.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.17354.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.3205.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.13801.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.16693.p1","PF00870","P53 DNA-binding domain","IPR011615","p53, DNA-binding domain","GO:0000976"
"m.32706.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.41206.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.25797.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4835.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11958.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.35242.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.36173.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.32175.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.11888.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.20218.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.42531.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7870.p1","PF00313","'Cold-shock' DNA-binding domain","IPR002059","Cold-shock protein, DNA-binding","GO:0003676"
"m.38575.p1","SSF50916","Rap30/74 interaction domains","IPR011039","Transcription Factor IIF, Rap30/Rap74, interaction","GO:0006367"
"m.3057.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.41771.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.6594.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.7129.p1","PF01754","A20-like zinc finger","IPR002653","Zinc finger, A20-type","GO:0003677|GO:0008270"
"m.1535.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.6132.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.5789.p1","PF06818","Fez1","-","-",""
"m.14506.p1","SSF55021","ACT-like","-","-",""
"m.186.p1","SSF54447","ssDNA-binding transcriptional regulator domain","IPR009044","ssDNA-binding transcriptional regulator","GO:0003677|GO:0006355"
"m.7829.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.19131.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.3325.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.3142.p1","PF00853","Runt domain","IPR013524","Runt domain","GO:0003677|GO:0003700|GO:0006355"
"m.12111.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.28205.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.38658.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.10445.p1","SSF55021","ACT-like","-","-",""
"m.4567.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.13556.p1","PF01530","Zinc finger, C2HC type","IPR002515","Zinc finger, C2H2C-type","GO:0005634|GO:0006355|GO:0008270"
"m.31397.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5318.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.4697.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.36220.p1","PF01167","Tub family","IPR000007","Tubby, C-terminal","-"
"m.37437.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.18671.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.9661.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.24850.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7771.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.4073.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.23766.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2033.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.11448.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.24348.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.23156.p1","PF00605","Interferon regulatory factor transcription factor","IPR001346","Interferon regulatory factor DNA-binding domain","GO:0000976"
"m.4643.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.27650.p1","PF03343","SART-1 family","IPR005011","SNU66/SART1 family","GO:0000398"
"m.32019.p1","SSF47413","lambda repressor-like DNA-binding domains","IPR010982","Lambda repressor-like, DNA-binding domain superfamily","GO:0003677"
"m.13889.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.10038.p1","PF00320","GATA zinc finger","IPR000679","Zinc finger, GATA-type","GO:0006355|GO:0008270|GO:0043565"
"m.12499.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2618.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.16822.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.14319.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.42384.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.10054.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.42624.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.40241.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.24456.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.9669.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.10728.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2813.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.8890.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.32358.p1","PF11262","Transcription factor/nuclear export subunit protein 2","IPR021418","THO complex, subunitTHOC2, C-terminal","-"
"m.4128.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.9692.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.33503.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.681.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.968.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.13414.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.4501.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.26113.p1","PF04054","CCR4-Not complex component, Not1","IPR007196","CCR4-Not complex component, Not1, C-terminal","-"
"m.3940.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.28628.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.15053.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.1552.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.55.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.8810.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.4372.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7833.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.18944.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4775.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.4785.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.10171.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.42153.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7546.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
