Orthogroup	Smed_jakke	g_tig_TfinalCDS
OG0000000	SMEST066529023.1.p2	m.39252_1
OG0000000	SMEST029866002.1.p1	m.41467_1, m.40850_1, m.41010_1, m.41012_1, m.41499_1, m.42544_1, m.42273_1, m.41418_1, m.43476_1, m.22974_1, m.40468_1, m.31693_1, m.25919_1, m.24137_1
OG0000000	SMEST052960001.1.p1	m.28082_1, m.40740_1
OG0000000	SMEST062996002.1.p1, SMEST032125001.1.p1	m.43430_1, m.42188_1, m.42093_1
OG0000000	MSTRG.2600.1.p1	m.41186_1
OG0000000	MSTRG.4262.1.p1, MSTRG.2463.1.p1, SMEST015860001.1.p2	m.44_1, m.33926_1
OG0000000	MSTRG.14956.1.p1, MSTRG.5171.1.p1, MSTRG.3234.1.p1, MSTRG.964.1.p1	m.40646_1
OG0000000	MSTRG.17431.1.p1	m.42103_1, m.21536_1, m.21813_1, m.28839_1, m.20674_1, m.17758_1, m.30390_1, m.29519_1, m.9210_1, m.33555_1
OG0000000	SMEST019578001.1.p2	m.40168_1, m.40463_1, m.40466_1, m.40460_1, m.42344_1, m.5372_1, m.33745_1
OG0000000	SMEST011773002.1.p1	m.36782_1, m.28247_1, m.42526_1
OG0000000	SMEST037879001.1.p1	m.40810_1, m.32702_1, m.14457_1
OG0000000	SMEST060890001.1.p1	m.42739_1, m.43217_1, m.43257_1, m.42981_1, m.38364_1, m.30079_1, m.28380_1, m.28384_1, m.42315_1, m.40967_1
OG0000000	SMEST038549001.1.p1, MSTRG.12323.1.p1	m.1318_1
OG0000000	MSTRG.22476.1.p1, MSTRG.15772.1.p1	m.1759_1
OG0000000	SMEST031172001.1.p1	m.4777_1, m.43426_1
OG0000000	SMEST061863001.1.p1	m.15768_1, m.27698_1, m.25918_1, m.40710_1
OG0000000	SMEST002139001.1.p1, SMEST064819001.1.p1, MSTRG.5785.5.p1	m.42605_1, m.41497_1, m.43423_1, m.42730_1
OG0000000	SMEST006430001.1.p1, SMEST023096001.1.p1, MSTRG.11041.1.p1	m.43323_1, m.39181_1
OG0000000	SMEST035627001.1.p1	m.43317_1
OG0000000	SMEST054366001.1.p1, SMEST060889001.1.p1	m.31731_1, m.43253_1, m.43258_1, m.43465_1, m.43215_1
OG0000000	SMEST055153002.1.p1	m.34807_1
OG0000000	SMEST033898001.1.p1, SMEST059107033.1.p2	m.11520_1
OG0000000	SMEST074961001.1.p1	m.32805_1
OG0000000	MSTRG.23271.2.p3, SMEST000071001.1.p1, SMEST007179001.1.p1, SMEST077598001.1.p1	m.1368_1, m.42312_1, m.40000_1, m.42983_1, m.33925_1, m.41228_1, m.33064_1, m.10554_1, m.6659_1, m.38433_1
OG0000000	SMEST060449001.1.p1	m.30080_1, m.42738_1, m.38357_1
OG0000000	MSTRG.17433.1.p1	m.12766_1, m.41230_1, m.42311_1, m.8080_1, m.3284_1, m.4633_1
OG0000000	SMEST003747001.1.p1	m.23380_1, m.43066_1, m.41437_1
OG0000000	SMEST009449002.1.p1, SMEST028493001.1.p1	m.40645_1, m.43379_1
OG0000000	SMEST016546002.1.p1	m.37824_1, m.40082_1, m.43199_1, m.42092_1, m.42766_1, m.41933_1, m.39716_1, m.10209_1, m.41153_1, m.42301_1, m.42305_1, m.43376_1
OG0000000	SMEST034928002.1.p1, SMEST029276004.1.p1	m.40805_1
OG0000000	MSTRG.2643.3.p3	m.43461_1, m.43226_1
OG0000000	SMEST052064002.1.p1, SMEST019458001.1.p1, SMEST057289001.1.p1, SMEST058621001.1.p1, SMEST013145001.1.p1, SMEST021658001.1.p1, SMEST062997001.1.p1, SMEST077456001.1.p1, SMEST014918001.1.p1, SMEST066915001.1.p1, SMEST037652001.1.p1	m.42715_1
OG0000001	MSTRG.8806.2.p1, SMEST042396001.1.p1	m.1009_1
OG0000001	SMEST042349001.1.p1, SMEST042388001.1.p1, MSTRG.8804.2.p1, MSTRG.8787.2.p1, MSTRG.8803.2.p1, SMEST042386001.1.p1	m.2704_1, m.17282_1, m.17281_1
OG0000001	MSTRG.8805.1.p1	m.17283_1
OG0000001	SMEST044335001.1.p1	m.6890_1
OG0000001	SMEST025034001.1.p1	m.5675_1
OG0000001	SMEST022862001.1.p1, MSTRG.7429.4.p1	m.3633_1
OG0000001	MSTRG.16630.2.p1, SMEST055023002.1.p1	m.11079_1
OG0000001	SMEST004375001.1.p1, SMEST002831001.1.p1	m.2723_1
OG0000002	MSTRG.9638.2.p1	m.4557_1
OG0000002	SMEST074896001.1.p1	m.2438_1
OG0000002	SMEST077917001.1.p1	m.390_1
OG0000002	MSTRG.13371.2.p1, SMEST051002001.1.p1	m.8221_1
OG0000002	MSTRG.8974.2.p1, SMEST041571001.1.p1	m.1756_1
OG0000002	SMEST021901001.1.p1	m.2070_1
OG0000002	SMEST045025001.1.p1	m.13454_1, m.13453_1
OG0000002	MSTRG.6954.5.p1, MSTRG.6954.4.p1, MSTRG.6954.2.p1, SMEST019757002.1.p1	m.55_1
OG0000002	MSTRG.697.4.p1, MSTRG.697.3.p1, SMEST002984002.1.p1	m.642_1
OG0000002	SMEST055068001.1.p1, SMEST017219001.1.p1, MSTRG.5081.2.p1	m.4517_1
OG0000002	MSTRG.5503.2.p1	m.1208_1
OG0000002	MSTRG.7999.6.p1, SMEST022668001.1.p1	m.8745_1
OG0000002	SMEST062714001.1.p1	m.6156_1
OG0000002	SMEST079807002.1.p1, SMEST022667001.1.p1	m.4908_1
OG0000002	SMEST043155001.1.p1	m.372_1
OG0000002	SMEST044469002.1.p1	m.5318_1
OG0000002	SMEST071019001.1.p1	m.6367_1
OG0000002	MSTRG.18888.3.p1, SMEST063219001.1.p1	m.4835_1
OG0000002	MSTRG.7491.1.p1, SMEST027004002.1.p1	m.2120_1
OG0000002	SMEST023118001.1.p1	m.1594_1
OG0000002	SMEST019482001.1.p1	m.2219_1
OG0000002	SMEST033792001.1.p1	m.2218_1
OG0000002	MSTRG.22888.4.p1, SMEST081885001.1.p1, MSTRG.22888.3.p1	m.4782_1
OG0000002	MSTRG.12028.1.p1	m.711_1
OG0000002	SMEST069539001.1.p1	m.5920_1
OG0000005	SMEST028611001.1.p1	m.7322_1
OG0000005	MSTRG.9112.1.p1	m.660_1
OG0000005	SMEST018658001.1.p1	m.1202_1
OG0000005	SMEST024273001.1.p1	m.5193_1
OG0000005	MSTRG.10480.1.p1	m.5949_1
OG0000005	SMEST014669001.1.p1	m.19385_1
OG0000005	SMEST016325001.1.p1	m.6213_1
OG0000005	MSTRG.21859.2.p2, SMEST074480001.1.p1	m.14079_1
OG0000005	SMEST035936001.1.p1, SMEST035936002.1.p1	m.29405_1
OG0000005	SMEST028774001.1.p1	m.43745_1
OG0000005	SMEST017198001.1.p1, MSTRG.5411.4.p1, MSTRG.5411.3.p1, MSTRG.5411.5.p1	m.10241_1
OG0000005	MSTRG.5105.3.p1	m.5440_1
OG0000005	SMEST036403001.1.p1	m.39943_1
OG0000005	MSTRG.15751.2.p2, SMEST059151001.1.p1	m.1502_1
